chembl	schembl_id	name
CHEMBL1672980	SCHEMBL16131243	CHEMBL1672980
CHEMBL1672981	SCHEMBL12274714	CHEMBL1672981
CHEMBL1672982	SCHEMBL12275276	CHEMBL1672982
CHEMBL2011414	SCHEMBL6265929	CHEMBL2011414
CHEMBL2011418	SCHEMBL3384069	CHEMBL2011418
CHEMBL190451	SCHEMBL3963229	CHEMBL190451
CHEMBL3612355	SCHEMBL5707498	KW-2581
CHEMBL3622008	SCHEMBL12998171	CHEMBL3622008
CHEMBL3622009	SCHEMBL12998169	CHEMBL3622009
CHEMBL3622010	SCHEMBL12998179	CHEMBL3622010
CHEMBL3622011	SCHEMBL12998182	CHEMBL3622011
CHEMBL3622059	SCHEMBL3240945	CHEMBL3622059
CHEMBL3622062	SCHEMBL3238186	CHEMBL3622062
CHEMBL3806300	SCHEMBL2496383	CHEMBL3806300
CHEMBL3805454	SCHEMBL4688194	CHEMBL3805454
CHEMBL3981927	SCHEMBL17908163	CHEMBL3981927
CHEMBL3953180	SCHEMBL16523724	CHEMBL3953180
CHEMBL3910182	SCHEMBL17908167	CHEMBL3910182
CHEMBL3289121	SCHEMBL7160589	CHEMBL3289121
CHEMBL3903683	SCHEMBL14300069	beta-Glucuronidase-IN-1
CHEMBL1236933	SCHEMBL14300066	3-(2-fluorophenyl)-1-(2-hydroxyethyl)-1-[(6-methyl-2-oxo-1,2-dihydroquinolin-3-yl)methyl]urea
CHEMBL1236932	SCHEMBL14300067	1-[(6,7-dimethyl-2-oxo-1,2-dihydroquinolin-3-yl)methyl]-1-(2-hydroxyethyl)-3-(3-methoxyphenyl)thiourea
CHEMBL2335167	SCHEMBL14299728	CHEMBL2335167
CHEMBL3922222	SCHEMBL14299730	CHEMBL3922222
CHEMBL3980115	SCHEMBL15125098	5-(morpholin-4-yl)-8-(piperazin-1-yl)-1,2,3,4-tetrahydro[1,2,3]triazino[4',5':4,5]thieno[2,3-c]isoquinoline
CHEMBL3916758	SCHEMBL14300065	ASN 08737352
CHEMBL2113115	SCHEMBL16394187	CHEMBL2113115
CHEMBL575060	SCHEMBL2202	L-glutamic acid
CHEMBL1257519	SCHEMBL2490489	TFB-TBOA
CHEMBL3974787	SCHEMBL2187142	CHEMBL3974787
CHEMBL3894965	SCHEMBL2188710	CHEMBL3894965
CHEMBL3966292	SCHEMBL12362901	CHEMBL3966292
CHEMBL3978001	SCHEMBL2186703	CHEMBL3978001
CHEMBL3907461	SCHEMBL2188739	CHEMBL3907461
CHEMBL3916425	SCHEMBL12363166	CHEMBL3916425
CHEMBL3925415	SCHEMBL12363164	CHEMBL3925415
CHEMBL3906332	SCHEMBL12363157	CHEMBL3906332
CHEMBL3934310	SCHEMBL12363173	CHEMBL3934310
CHEMBL3916229	SCHEMBL2186708	CHEMBL3916229
CHEMBL3943277	SCHEMBL2188952	CHEMBL3943277
CHEMBL3921160	SCHEMBL12362899	CHEMBL3921160
CHEMBL3893158	SCHEMBL2188725	CHEMBL3893158
CHEMBL3967635	SCHEMBL2188190	CHEMBL3967635
CHEMBL3938033	SCHEMBL2262328	CHEMBL3938033
CHEMBL3914729	SCHEMBL2189041	CHEMBL3914729
CHEMBL3946835	SCHEMBL2187228	CHEMBL3946835
CHEMBL3947901	SCHEMBL2187886	CHEMBL3947901
CHEMBL3920102	SCHEMBL2189275	CHEMBL3920102
CHEMBL3904640	SCHEMBL2189689	CHEMBL3904640
CHEMBL3929014	SCHEMBL12363171	CHEMBL3929014
CHEMBL3949677	SCHEMBL2188869	CHEMBL3949677
CHEMBL3959535	SCHEMBL2189023	CHEMBL3959535
CHEMBL3896021	SCHEMBL2189237	CHEMBL3896021
CHEMBL3963951	SCHEMBL2258720	CHEMBL3963951
CHEMBL3939789	SCHEMBL2190034	CHEMBL3939789
CHEMBL3942095	SCHEMBL2188286	CHEMBL3942095
CHEMBL3905100	SCHEMBL2189887	CHEMBL3905100
CHEMBL3895884	SCHEMBL2186534	CHEMBL3895884
CHEMBL3954374	SCHEMBL2189693	CHEMBL3954374
CHEMBL3943573	SCHEMBL2189853	CHEMBL3943573
CHEMBL3909954	SCHEMBL2188085	CHEMBL3909954
CHEMBL3930910	SCHEMBL12363165	CHEMBL3930910
CHEMBL3900887	SCHEMBL2188481	CHEMBL3900887
CHEMBL3965126	SCHEMBL12363278	CHEMBL3965126
CHEMBL3924446	SCHEMBL12363317	CHEMBL3924446
CHEMBL3946706	SCHEMBL2188017	CHEMBL3946706
CHEMBL3920420	SCHEMBL2188806	CHEMBL3920420
CHEMBL3976498	SCHEMBL12363254	CHEMBL3976498
CHEMBL3977522	SCHEMBL12363279	CHEMBL3977522
CHEMBL3956951	SCHEMBL12363250	CHEMBL3956951
CHEMBL3985610	SCHEMBL12363190	CHEMBL3985610
CHEMBL3976954	SCHEMBL12363132	CHEMBL3976954
CHEMBL3968418	SCHEMBL12363156	CHEMBL3968418
CHEMBL3935176	SCHEMBL2190003	CHEMBL3935176
CHEMBL3897683	SCHEMBL13286313	S-3226
CHEMBL3986031	SCHEMBL17576932	CHEMBL3986031
CHEMBL3950244	SCHEMBL5628319	SCHEMBL5628319
CHEMBL3975361	SCHEMBL13276408	CHEMBL3975361
CHEMBL3972891	SCHEMBL16887472	CHEMBL3972891
CHEMBL3936030	SCHEMBL17576933	CHEMBL3936030
CHEMBL3926339	SCHEMBL17577777	CHEMBL3926339
CHEMBL3981280	SCHEMBL21350716	CHEMBL3981280
CHEMBL3978906	SCHEMBL17576934	CHEMBL3978906
CHEMBL3936387	SCHEMBL17576935	CHEMBL3936387
CHEMBL3939149	SCHEMBL17576938	CHEMBL3939149
CHEMBL3975672	SCHEMBL17577718	CHEMBL3975672
