name	harmonized_name
DOW GLOBAL TECHNOLOGIES LLC	Dow Global Technologies
DR REDDY'S LABORATORIES LTD	Dr. Reddy's Laboratories
DREI LILIEN PVG GMBH & CO KG	Drei Lilien PVG GmbH & Co. KG
DSM IP ASSETS BV	Royal DSM
DU PONT	DuPont
DUPONT IND BIOSCIENCES USA LLC	DuPont Nutrition & Biosciences
DYNAMIX PHARMACEUTICALS LTD	Dynamix Pharmaceuticals
DYNOGEN PHARMACEUTICALS INC	Dynogen Pharmaceuticals
Dermavant Sciences GmbH	Dermavant Sciences
DoubleHill GmbH	DoubleHill GmbH
Dr Reddys Laboratories Ltd	Dr. Reddy's Laboratories
EASTMAN CHEM CO	Eastman
ECOLAB USA INC	Ecolab
EFFECTOR THERAPEUTICS INC	eFFECTOR Therapeutics
EFFIPHARMA INC	Effipharma
EINSTEIN COLL MED	Albert Einstein College of Medicine
EIP PHARMA LLC	EIP Pharma
EISAI CO LTD	Eisai
EISAI INC	Eisai
EISAI R&D MAN CO LTD	Eisai
ELC MAN LLC	Estee Lauder Companies
ELCELYX THERAPEUTICS INC	Elcelyx Therapeutics
ELEXOPHARM GMBH	ElexoPharm
ELI LILLY AND COMPANY	Lilly
ELIGO BIOSCIENCE	Eligo Bioscience
ELIZANOR BIOPHARMACEUTICALS IN	Elizanor Biopharmaceuticals
EMERITI PHARMA AB	Emeriti Bio
EMMELLEN BIOTECH PHARMACEUTICA	Embio Limited
EMMENNAR PHARMA PRIVATE LTD	Emmennar
EMORY UNIVERSITY	Emory University
ENANTA PHARM INC	Enanta
ENANTIA S L	Enantia
ENDEAVOR PHARMACEUTICALS	Endeavor
ENDORECH INC	Endotech
ENDOWMENT FOR RES IN HUMAN BIO	Endowment For Research In Human Biology Inc
ENI SPA	Eni
ENTERIN INC	Enterin
